Mountainman:::Corrin Ware:795983:Female:39:5:15:Producer (head):JoT-2,Survival-1,GunCbt-2,Tactics-1,Vehicle-2
Mountainman:::Tamera Munro:639882:Female:31:3:11:Influencer (heart):Gambling-1,Survival-1,Hunting-1,GunCbt-2,Vehicle-1
Mountainman:::Alejandro Ellis:66AA7A:Male:32:3:9:Doer (action):Survival-1,Mechanical-1,GunCbt-2,Vehicle-1
Mountainman:::Lasandra Esnault:C7AD39:Female:40:5:13:Doer (action):Gambling-1,Survival-1,Blade-1,GunCbt-1,Vehicle-1
Mountainman:::Zula Bodin:835554:Female:39:5:11:Shaper (head):JoT-1,Survival-2,Brawling-1,GunCbt-1,Vehicle-2
Mountainman:::Arnoldo Parisot:5987C9:Male:22:1:10:Responder (heart):Gambling-1,Survival-1
Mountainman:::Adell Ali:796874:Female:35:4:12:Doer (action):JoT-1,Gambling-1,Survival-2,Hunting-1,GunCbt-1
Mountainman::Dame:Valerie Owen:4AA9AB:Female:36:4:9:Responder (heart):Medical-1,Survival-1,GunCbt-2,Tactics-1
Mountainman:::Ty Dauphin:5A2655:Male:30:3:12:Shaper (head):JoT-2,Survival-2,GunCbt-2
Mountainman:::Eulalia Black:758A57:Female:39:5:14:Producer (head):JoT-1,Survival-3,Mechanical-2,GunCbt-1
Mountainman:::Carroll Caillet:43A375:Male:28:2:11:Doer (action):Gambling-1,Survival-2,Mechanical-1
Mountainman:::Lorinda Hutchinson:584929:Female:30:3:13:Responder (heart):JoT-1,Gambling-1,Survival-2,Brawling-2
Mountainman:::Elmer Ballard:395A28:Male:34:4:9:Influencer (heart):Gambling-1,Survival-1,Hunting-1,Blade-2,Vehicle-1
Mountainman:::Oliver Hobbs:A55425:Male:32:3:12:Influencer (heart):JoT-1,Gambling-1,Survival-1,Hunting-2,Mechanical-1
Mountainman:::Cletus Bálint:2654A8:Male:30:3:11:Responder (heart):Medical-1,Survival-1,Leader-1,Hunting-2
Mountainman::Knight:Cameron Hue:67554B:Male:24:1:9:Responder (heart):Survival-1,Blade-1,Vehicle-1
Mountainman:::Darrick Bodin:B49C57:Male:40:5:15:Responder (heart):Survival-1,Brawling-4,Vehicle-1
Mountainman:::Williams Lunde:6B968A:Male:39:5:10:Shaper (head):Survival-2,Hunting-1,Mechanical-2,Tactics-1,Vehicle-2
Mountainman:::Arlie Griffiths:667367:Male:34:4:14:Responder (heart):Survival-1,Hunting-2,Blade-1,Vehicle-2
Mountainman:::Mason Boyd:995988:Male:24:1:6:Influencer (heart):JoT-1,Survival-2,Leader-1
Mountainman:::Iva Gras:8A5A98:Female:39:5:14:Responder (heart):JoT-1,Gambling-1,Survival-2,Hunting-1,Tactics-1
Mountainman:::Maria Delmas:B9576A:Male:36:4:14:Doer (action):Survival-2,Brawling-1,Hunting-1,Mechanical-1,GunCbt-1
Mountainman:::Racquel Paul:89CB67:Female:28:2:8:Responder (heart):Survival-2,Brawling-1,Mechanical-1,GunCbt-1
Mountainman:::Jody Pires:745858:Male:34:4:11:Influencer (heart):JoT-1,Gambling-1,Survival-2,Hunting-1
Mountainman:::Jacqueline Mueller:978487:Female:38:5:10:Doer (action):JoT-1,Survival-2,Leader-1,Blade-1,Vehicle-2
Mountainman:::Earlean Cline:368783:Female:44:6:15:Mover (action):Medical-1,Survival-2,Brawling-1,Hunting-1,Blade-1
Mountainman:::Shon Castaneda:955543:Male:43:6:13:Shaper (head):JoT-1,Gambling-2,Survival-1,Brawling-1,Hunting-1,Mechanical-1,GunCbt-1
Mountainman:::Rena Graham:3A5649:Female:44:6:15:Responder (heart):JoT-1,Survival-2,Brawling-2,Blade-2
Mountainman:::Tynisha Peltier:9CA58A:Female:23:1:7:Responder (heart):Survival-1,Leader-2,Hunting-1
Mountainman:::Reagan Quiroga:3A3777:Female:27:2:8:Responder (heart):Gambling-1,Survival-1,Brawling-1,Mechanical-1,Blade-1
Mountainman:::Wesley Fayolle:457537:Male:36:4:14:Mover (action):Survival-1,Hunting-1,Mechanical-2,Blade-1
Mountainman::Dame:Bobby Dunn:A5CC7B:Female:42:6:12:Mover (action):Survival-2,Hunting-2,GunCbt-1
Mountainman:::Herschel Baxter:65B933:Male:35:4:10:Influencer (heart):Gambling-2,Survival-1,Hunting-1,Vehicle-3
Mountainman:::Michael Lepretre:848B79:Male:23:1:8:Responder (heart):Survival-1,Blade-2,Mechanical-1
Mountainman:::Jill Bartlett:68AB4A:Female:31:3:11:Responder (heart):Survival-1,Brawling-1,Blade-1,Vehicle-1
Mountainman:::Kennith Nicolle:4A8A56:Male:30:3:12:Contemplator (head):Survival-4,GunCbt-1
Mountainman:::Anjelica Joyce:249496:Female:22:1:11:Shaper (head):Survival-1,Blade-1,Tactics-1,Vehicle-1
Mountainman:::Darryl Valette:77C8AA:Male:38:5:11:Responder (heart):JoT-1,Gambling-1,Survival-1,Leader-1,Hunting-1,Vehicle-2
Mountainman:::Stefanie Branch:937C88:Female:40:5:15:Responder (heart):Gambling-1,Survival-1,Brawling-2,Vehicle-1
Mountainman:::Eduardo Wyatt:5C633A:Male:31:3:10:Doer (action):JoT-2,Gambling-1,Survival-2,Brawling-1
Mountainman:::Sharyn Cohen:A89CB7:Female:31:3:12:Doer (action):JoT-1,Medical-1,Survival-1,Brawling-1,Vehicle-1
Mountainman:::Maryalice Strömberg:55B9A7:Female:28:2:12:Responder (heart):Medical-1,Survival-1,Brawling-1,Hunting-1,Blade-1
Mountainman:::Mayme Berthier:A77A9A:Female:34:4:10:Responder (heart):JoT-2,Medical-1,Gambling-1,Survival-1
Mountainman::Baron:Shon Donovan:9AC86C:Male:35:4:10:Contemplator (head):JoT-1,Survival-2,Blade-1
Mountainman:::Blanca Atkinson:378856:Female:42:6:14:Doer (action):JoT-2,Gambling-2,Survival-2,Hunting-1,GunCbt-2
Mountainman:::Boyd Joubert:6CC569:Male:35:4:9:Responder (heart):Survival-3,Brawling-1,Mechanical-1,Blade-1,Vehicle-1
Mountainman:::Ramon Carlson:965368:Male:40:5:15:Responder (heart):JoT-1,Gambling-1,Survival-2,Mechanical-1,Blade-1,GunCbt-1,Vehicle-1
Mountainman:::Anissa Blandin:B98667:Female:44:6:15:Doer (action):Gambling-2,Survival-3,Blade-1,GunCbt-1,Vehicle-1
Mountainman:::Dinah Guegan:6B57BA:Female:34:4:12:Doer (action):Survival-1,Leader-2,Mechanical-2,Vehicle-1
Mountainman:::Terrance Munoz:BA8994:Male:43:6:14:Responder (heart):JoT-2,Survival-1,Brawling-2,Blade-1,Vehicle-2
Mountainman:::Perry Brochard:896A35:Male:31:3:9:Responder (heart):JoT-1,Survival-2,Hunting-1,Vehicle-1
Mountainman:::Shanel Navarro:746898:Female:27:2:10:Doer (action):JoT-1,Survival-1,Leader-1,Tactics-1
Mountainman:::Cedrick Berthet:74BB75:Male:32:3:8:Doer (action):Gambling-1,Survival-2,Brawling-1,Hunting-1
Mountainman:::Martin Davis:368967:Male:38:5:11:Influencer (heart):JoT-1,Gambling-1,Survival-2,Blade-1,GunCbt-1,Vehicle-1
Mountainman:::Jadwiga Ware:3675C4:Female:36:4:12:Doer (action):Gambling-1,Survival-1,Leader-1,Tactics-1
Mountainman:::Ciera Figueroa:657DA5:Female:44:6:11:Doer (action):Gambling-2,Survival-1,Leader-1,Hunting-1,Tactics-1,Vehicle-1
Mountainman:::Bettyann Bond:5637AA:Female:32:3:13:Responder (heart):JoT-1,Gambling-2,Survival-1,Brawling-1
Mountainman:::Brant Carrizo:7A5658:Male:31:3:9:Doer (action):Gambling-1,Survival-2,Mechanical-1,Vehicle-1
Mountainman:::Lee Loyer:95CB97:Female:38:5:13:Doer (action):JoT-1,Medical-1,Survival-1,Brawling-1,Hunting-1
Mountainman:::Luigi Blankenship:9AB344:Male:43:6:16:Doer (action):Gambling-1,Survival-1,Hunting-1,Blade-1,Mechanical-1,GunCbt-2
Mountainman:::Mason Pons:565493:Male:35:4:12:Influencer (heart):JoT-2,Survival-2,Blade-1,Mechanical-1
Mountainman:::Denver Rutledge:95A958:Male:31:3:10:Responder (heart):JoT-1,Gambling-1,Survival-1,Brawling-1
Mountainman:::Estell Schwartz:865667:Female:34:4:14:Contemplator (head):Gambling-1,Survival-1,Brawling-1,Hunting-1,Blade-1,GunCbt-1
Mountainman:::Maye Saulnier:679B6A:Female:30:3:11:Shaper (head):JoT-2,Survival-2,Blade-1,GunCbt-1
Mountainman:::Cristobal François:566734:Male:38:5:13:Contemplator (head):Gambling-1,Survival-1,Brawling-2,Hunting-1,Blade-2,Vehicle-1
Mountainman::Baron:Mathew Leloup:66C47C:Male:38:5:13:Shaper (head):JoT-1,Gambling-1,Survival-2,Brawling-1,Mechanical-1,GunCbt-1
Mountainman::Knight:Chet Ekström:453A3B:Male:32:3:8:Shaper (head):Gambling-1,Survival-3,Brawling-1
Mountainman:::Neoma Bourbon:989938:Female:26:2:10:Responder (heart):Survival-1,Brawling-1,Mechanical-1,GunCbt-1
Mountainman::Baron:Lou Jakobsson:C6A77C:Male:35:4:14:Doer (action):Gambling-1,Survival-3,Hunting-1,GunCbt-2
Mountainman:::Erik Osborn:4C9977:Male:40:5:13:Responder (heart):JoT-1,Survival-2,Mechanical-2,Blade-1,Vehicle-2
Mountainman:::Ricky Fülöp:389892:Male:24:1:6:Doer (action):Survival-1,Tactics-1,Vehicle-1
Mountainman:::Nicki Aune:995679:Female:28:2:12:Responder (heart):Gambling-1,Survival-2,Brawling-1,Hunting-1
Mountainman:::Jesica Jardin:73AA35:Female:26:2:8:Shaper (head):JoT-1,Survival-1,Brawling-1,Vehicle-2
Mountainman:::Rafael Péter:795784:Male:32:3:10:Mover (action):Medical-1,Gambling-1,Survival-1,Vehicle-3
Mountainman:::Oren Faragó:53747A:Male:22:1:9:Doer (action):Gambling-1,Survival-1,Mechanical-1,GunCbt-1
Mountainman:::Lenore Hay:8AA698:Female:26:2:7:Contemplator (head):JoT-1,Survival-1,Hunting-1,Mechanical-1,Vehicle-1
Mountainman:::Pamelia Capelle:8B9677:Female:26:2:7:Responder (heart):JoT-1,Survival-2,GunCbt-1,Vehicle-1
Mountainman:::Sydney Acosta:39C97A:Male:24:1:9:Shaper (head):JoT-1,Survival-1,Vehicle-1
Mountainman:::Weldon Duncan:C679C6:Male:31:3:9:Mover (action):JoT-1,Survival-1,Mechanical-1,Vehicle-2
Mountainman:::Allen Vargas:A77C57:Female:32:3:10:Responder (heart):Gambling-1,Survival-1,Vehicle-1
Mountainman:::Sharilyn Raynal:89DC67:Female:43:6:14:Doer (action):Gambling-1,Survival-1,Hunting-1,Mechanical-1,Vehicle-1
Mountainman:::Jamal Jolivet:66BB64:Male:35:4:13:Responder (heart):Survival-2,Hunting-2,Blade-1,GunCbt-1
Mountainman:::Dante Townsend:665C96:Male:43:6:16:Contemplator (head):JoT-1,Survival-1,Leader-1,Mechanical-1,Tactics-1,Vehicle-2
Mountainman:::Coretta Nguyen:5752BA:Female:39:5:11:Responder (heart):Survival-3,Hunting-1,Tactics-1,Vehicle-2
Mountainman:::Milagros Lengyel:444966:Female:26:2:11:Doer (action):JoT-1,Gambling-1,Survival-1,Brawling-1,GunCbt-1
Mountainman:::Hayden Rowe:A66A5A:Male:24:1:9:Responder (heart):Survival-2,Brawling-1,Hunting-1
Mountainman:::Mira Perret:596957:Female:30:3:9:Contemplator (head):Gambling-1,Survival-2,Mechanical-1,Blade-1,GunCbt-1
